is_error,is_post_error,is_complete,cue1,cue2,release1,release2,choice,drop,delay,condition,rt_bar2red,rt_red2cue,rt_cueon_to_cue1,rt_release1,rt_cue1_to_cue2,rt_release2,filename
0,0,1,purple,,1,0,1,6,1,7,,,1.39499999999998,0.29099999999994,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,1,1,,,2.00900000000001,0.320000000000164,NaN,NaN,T130930
1,0,0,purple,,0,0,NaN,6,10,9,,,1.07799999999997,NaN,NaN,NaN,T130930
0,1,1,purple,,1,0,1,6,10,9,,,1.07799999999997,0.464000000000169,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,6,10,9,,,1.69800000000009,0.983999999999924,NaN,NaN,T130930
1,0,0,,,0,0,NaN,2,10,3,,,NaN,NaN,NaN,NaN,T130930
0,1,1,purple,,1,0,1,2,10,3,,,1.38499999999999,0.194999999999936,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,6,10,9,,,2.01300000000015,1.06799999999998,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,5,5,,,2.01099999999997,NaN,1.11099999999988,0.435000000000173,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,0.759999999999991,NaN,1.10900000000015,0.293999999999869,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.38499999999999,0.398000000000138,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.71299999999997,NaN,1.10300000000007,0.375999999999976,T130930
0,0,1,purple,,1,0,1,4,10,6,,,2.01300000000015,0.338999999999942,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,5,2,,,1.38599999999997,0.342000000000098,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,5,8,,,1.39499999999998,0.506000000000085,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,5,2,,,1.69799999999987,0.330000000000155,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,10,6,,,0.761000000000195,1.00599999999986,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,10,9,,,1.69700000000012,0.447999999999865,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.07799999999997,NaN,1.10399999999981,0.291000000000167,T130930
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.39499999999998,NaN,1.10399999999981,0.369999999999891,T130930
0,0,1,yellow,,1,0,0,2,10,3,,,2.01400000000012,0.375,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,1,4,,,1.07200000000012,NaN,1.11400000000003,0.288000000000011,T130930
0,0,1,purple,,1,0,1,6,5,8,,,1.69700000000012,0.432000000000244,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.39399999999978,NaN,1.10400000000027,0.304000000000087,T130930
0,0,1,purple,,1,0,1,4,1,4,,,2.01299999999992,0.288000000000011,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,1,4,,,1.38599999999997,NaN,1.11700000000019,0.282999999999902,T130930
0,0,1,purple,,1,0,1,4,10,6,,,0.760999999999967,0.643000000000029,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,10,9,,,1.07899999999972,NaN,1.10400000000027,0.3149999999996,T130930
0,0,1,purple,,1,0,1,2,5,2,,,0.760999999999967,0.444999999999709,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,10,6,,,1.69700000000012,0.396000000000186,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,6,10,9,,,2.01399999999967,0.564000000000306,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,10,3,,,0.759999999999764,0.327999999999975,NaN,NaN,T130930
1,0,0,yellow,,0,0,NaN,2,5,2,,,1.39499999999998,NaN,NaN,NaN,T130930
0,1,1,yellow,,1,0,0,2,5,2,,,1.71199999999999,0.123999999999796,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.38500000000022,NaN,1.11899999999969,0.316000000000258,T130930
0,0,1,purple,,1,0,1,6,10,9,,,0.760000000000218,0.511999999999716,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,10,3,,,1.39499999999998,0.389999999999873,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.07200000000012,NaN,1.11499999999978,0.44399999999996,T130930
0,0,1,yellow,purple,0,1,1,4,5,5,,,2.01099999999997,NaN,1.11100000000033,0.342999999999847,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.07200000000012,0.634000000000015,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,10,9,,,1.71299999999974,NaN,1.10400000000027,0.335999999999785,T130930
0,0,1,purple,,1,0,1,6,5,8,,,1.39600000000019,0.52599999999984,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,10,6,,,1.69599999999991,NaN,1.10800000000017,0.396000000000186,T130930
0,0,1,purple,,1,0,1,6,1,7,,,0.760000000000218,0.333999999999833,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,10,9,,,2.01400000000012,NaN,1.10399999999981,0.398999999999887,T130930
0,0,1,purple,,1,0,1,2,10,3,,,1.71300000000019,0.840000000000146,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,5,8,,,1.07200000000012,0.498999999999796,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,1,4,,,1.39599999999973,NaN,1.10500000000002,0.326000000000022,T130930
0,0,1,purple,,1,0,1,4,10,6,,,0.760999999999967,0.519999999999982,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.38400000000001,NaN,1.11900000000014,0.322000000000116,T130930
0,0,1,yellow,purple,0,1,1,4,1,4,,,0.759999999999764,NaN,1.10800000000017,0.335000000000036,T130930
0,0,1,purple,,1,0,1,4,1,4,,,2.00900000000001,0.320999999999913,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,2,10,3,,,1.71199999999999,0.498999999999796,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,1,7,,,0.759999999999764,0.346000000000004,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,1,7,,,1.07799999999997,0.414999999999964,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.38500000000022,0.476000000000113,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,2.01299999999992,NaN,1.10400000000027,0.304999999999836,T130930
0,0,1,yellow,,1,0,0,2,5,2,,,1.07799999999997,0.432999999999993,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.07200000000012,0.483000000000175,NaN,NaN,T130930
1,0,0,,,0,0,NaN,2,5,2,,,NaN,NaN,NaN,NaN,T130930
0,1,1,yellow,,1,0,0,2,5,2,,,0.759999999999764,0.534000000000106,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,2,10,3,,,1.39400000000023,0.376999999999953,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,5,8,,,2.01000000000022,NaN,1.11200000000008,0.368999999999687,T130930
0,0,1,purple,,1,0,1,6,1,7,,,2.00999999999976,0.344000000000051,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,0.760999999999967,NaN,1.10400000000027,0.317999999999756,T130930
0,0,1,yellow,purple,0,1,1,4,10,6,,,1.39600000000019,NaN,1.10399999999981,0.181999999999789,T130930
0,0,1,purple,,1,0,1,2,1,1,,,1.71099999999979,0.304000000000087,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,5,8,,,2.01000000000022,NaN,1.11099999999988,0.295999999999822,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.38599999999997,0.486000000000331,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,1,1,,,1.39600000000019,0.31899999999996,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,2,5,2,,,1.69700000000012,0.407999999999902,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,5,5,,,0.760999999999967,0.619000000000142,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,1.69700000000012,NaN,1.10699999999997,0.255999999999858,T130930
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.07200000000012,NaN,1.11499999999978,0.452000000000226,T130930
0,0,1,yellow,purple,0,1,1,4,1,4,,,1.38400000000001,NaN,1.11900000000014,0.320000000000164,T130930
0,0,1,purple,,1,0,1,4,5,5,,,2.00999999999976,0.481000000000222,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,10,9,,,1.07699999999977,NaN,1.10400000000027,0.685999999999694,T130930
0,0,1,purple,,1,0,1,2,5,2,,,1.71300000000019,0.366999999999734,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,5,2,,,1.38400000000001,0.550000000000182,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,1,7,,,2.01399999999967,0.315000000000055,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,1,4,,,1.38500000000022,0.329000000000178,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,1,1,,,0.777000000000044,0.463000000000193,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,2,10,3,,,1.07200000000012,0.476000000000113,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,10,9,,,0.760999999999967,0.593000000000302,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.69599999999991,NaN,1.10800000000017,0.302999999999884,T130930
0,0,1,purple,,1,0,1,6,1,7,,,2.01099999999997,0.302999999999884,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,10,6,,,0.760999999999967,NaN,1.10399999999981,0.523999999999887,T130930
0,0,1,purple,,1,0,1,2,10,3,,,1.39400000000023,0.327999999999975,NaN,NaN,T130930
0,0,1,purple,yellow,0,1,0,6,10,9,,,1.69700000000012,NaN,1.10799999999972,0.344000000000051,T130930
0,0,1,yellow,,1,0,0,6,10,9,,,1.38499999999976,0.50400000000036,NaN,NaN,T130930
1,0,0,yellow,purple,0,0,NaN,4,10,6,,,0.760999999999967,NaN,1.10399999999981,NaN,T130930
0,1,1,yellow,,1,0,0,4,10,6,,,1.38500000000022,0.527000000000044,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,4,10,6,,,1.07799999999997,0.410000000000309,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,1,4,,,2.00999999999976,0.349999999999909,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,4,10,6,,,1.07700000000023,0.407999999999902,NaN,NaN,T130930
0,0,1,purple,,1,0,1,4,10,6,,,1.69699999999966,0.313000000000102,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,1,7,,,1.39499999999998,NaN,1.10399999999981,0.354000000000269,T130930
0,0,1,purple,,1,0,1,4,1,4,,,1.71300000000019,0.322999999999865,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,5,2,,,0.759999999999764,NaN,1.11000000000013,0.474999999999909,T130930
0,0,1,purple,,1,0,1,2,1,1,,,2.01000000000022,0.321999999999662,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,5,2,,,1.71299999999974,NaN,1.10300000000007,0.38799999999992,T130930
0,0,1,purple,,1,0,1,2,1,1,,,1.07799999999997,0.76299999999992,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.38499999999976,NaN,1.11900000000014,0.673999999999978,T130930
0,0,1,yellow,purple,0,1,1,2,5,2,,,0.760000000000218,NaN,1.10899999999992,0.465999999999894,T130930
0,0,1,yellow,purple,0,1,1,6,5,8,,,1.38499999999976,NaN,1.11800000000039,0.411999999999807,T130930
0,0,1,purple,,1,0,1,6,1,7,,,0.760000000000218,0.405999999999949,NaN,NaN,T130930
0,0,1,yellow,,1,0,0,2,10,3,,,2.01300000000037,0.388999999999669,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,10,9,,,1.69800000000032,0.407999999999902,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,5,8,,,0.759000000000015,0.900000000000091,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,5,8,,,1.07200000000012,0.771999999999935,NaN,NaN,T130930
1,0,0,yellow,purple,0,0,NaN,2,1,1,,,1.39500000000044,NaN,1.10399999999981,NaN,T130930
0,1,1,yellow,purple,0,1,1,2,1,1,,,2.00900000000001,NaN,1.11299999999983,0.326000000000022,T130930
0,0,1,purple,,1,0,1,4,5,5,,,1.07199999999966,0.481999999999971,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,5,8,,,1.07799999999997,0.766999999999825,NaN,NaN,T130930
0,0,1,purple,,1,0,1,2,10,3,,,1.69800000000032,0.341999999999643,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,4,1,4,,,0.760999999999967,NaN,1.10399999999981,0.344000000000051,T130930
0,0,1,yellow,purple,0,1,1,4,5,5,,,1.39599999999973,NaN,1.10400000000027,0.380000000000109,T130930
0,0,1,yellow,,1,0,0,2,10,3,,,2.01300000000037,0.364000000000033,NaN,NaN,T130930
0,0,1,purple,,1,0,1,6,10,9,,,2.01000000000022,0.460000000000036,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,6,5,8,,,0.760999999999967,NaN,1.10400000000027,0.514999999999873,T130930
0,0,1,yellow,purple,0,1,1,2,5,2,,,1.39499999999998,NaN,1.10399999999981,0.548000000000229,T130930
0,0,1,purple,,1,0,1,6,5,8,,,1.71299999999974,0.447000000000116,NaN,NaN,T130930
0,0,1,yellow,purple,0,1,1,2,1,1,,,2.01000000000022,NaN,1.11099999999988,0.296000000000276,T130930
0,0,1,purple,,1,0,1,6,1,7,,,1.38400000000001,0.320999999999913,NaN,NaN,T130930
